name,placetype,locality,region,country,rank,award,population,wof:id,lat,lng,bbox,is_nacto,is_mapzen_support,landuse,map_url,comment
Pacific Pines,locality,Pacific Pines,Gold Coast,Australia,4,,,,,,,,1,,,
Brisbane,locality,Brisbane,Queensland,Australia,3,,,,,,,,1,,https://cyclingbrisbane.com.au/route-planner#7/-33.869/151.194,
Adelaide,locality,Adelaide,,Australia ,4,,,,,,,,1,,,
Recife,locality,Recife,,Brazil,4,,,,,,,,1,,bit.do/CicloviasRecife,
Calgary,locality,Calgary,AB,Canada,2,,,,,,,,1,,https://maps.calgary.ca/PathwaysandBikeways/,
Vancouver,locality,Vancouver,BC,Canada,2,,,,,,,1,,,,
Victoria,locality,Victoria,BC,Canada,4,,,,,,,,,,,
Ottawa,locality,Ottawa,ON,Canada,2,,,,,,,,,,,
Brampton,locality,Brampton,Ontario,Canada,3,,,,,,,,1,,,
Toronto,locality,Toronto,Ontario,Canada,2,,,,,,,1,1,,,
Windsor,locality,Windsor,Ontario,Canada,4,,,,,,,,1,,http://www.arcgis.com/apps/View/index.html?appid=234bb0faaf63486eb331a4b7d7a58dda,
Montreal,locality,Montreal,QC,Canada,4,,,,,,,,,,,
Saskatoon,locality,Saskatoon,SK,Canada,4,,,,,,,,1,,https://www.saskatoon.ca/sites/default/files/documents/web2016cyclingguide.pdf,
Copenhagen,locality,Copenhagen,,Denmark,2,,,,,,,,1,,https://www.ibikecph.dk/,
Helsinki,locality,Helsinki,,Finland,2,,,,,,,,1,,http://www.ulkoilukartta.fi/,
Paris,locality,Paris,,France,1,,,,,,,,1,,,
Strasbourg,locality,Strasbourg,,France,4,,,,,,,,1,,https://www.la-wantzenau.fr/dynamic/pdf/pistes_cyclables_cus.pdf,
Toulouse,locality,Toulouse,,France,4,,,,,,,,1,,http://www.velo.toulouse.fr/content/download/30383/177370/version/2/file/2015_carteitincyclables.pdf,
Hagen,locality,Hagen,NRW,Germany,4,,,,,,,,1,,,
Berlin,locality,Berlin,,Germany,2,,,,,,,,1,,http://www.bbbike.de/cgi-bin/bbbike.en.cgi,
Bremen,locality,Bremen,,Germany,4,,,,,,,,1,,,
Hamburg,locality,Hamburg,,Germany,4,,,,,,,,1,,https://www.hamburg.de/radroutenplaner/,
Karlsruhe,locality,Karlsruhe,,Germany,4,,,,,,,,1,,,
Thessaloniki,locality,Thessaloniki,,Greece,4,,,,,,,,1,,http://gis.thessaloniki.gr/sdi/ (it's the Ποδηλατόδρομοι layer),
Reykjavik,locality,Reykjavik,,Iceland,4,,,,,,,,1,,http://hjolaborgin.is/framkvaemdir-og-adgerdir/#3,
Dublin,locality,Dublin,,Ireland,3,,,,,,,,1,,,Stirling
Turin,locality,Turin,Piedmont,Italy,2,,,,,,,,1,,,
Milan,locality,Milan,,Italy,3,,,,,,,,1,,,
Nijmegen,locality,Nijmegen,,Netherlands,4,,,,,,,,1,,,
Leiden,locality,Leiden,Zuid-Holland,Netherlands ,4,,,,,,,,1,,http://www.bikeprint.nl/fietstelweek/ http://fietstelweek.nl/resultaten/ ,
Auckland,locality,Auckland,,New Zealand,3,,,,,,,,1,,,
Managua,locality,Managua,,Nicaragua,4,,,,,,,,1,,,
Bratislava,locality,Bratislava,,Slovakia,4,,,,,,,,1,,,
Maribor,locality,Maribor,,Slovenia,4,,,,,,,,1,,https://storage.googleapis.com/maribor-pohorje.si/files/bike-maribor.pdf,
Xixón,locality,Xixón,Asturies,Spain,4,,,,,,,,1,,,
Umeå,locality,Umeå,Västerbotten,Sweden,4,,,,,,,,1,,http://www.umea.se/download/18.195f80f41549bef18ec1c27c/1464865948825/Cykelkarta_2016.pdf,
Lucerne,locality,Lucerne,,Switzerland,4,,,,,,,,1,,,
Zürch,locality,Zürch,,Switzerland,2,,,,,,,,1,,https://map.veloland.ch/?lang=en&route=all&bgLayer=pk&layers=Veloland&resolution=50&E=2678347&N=1242029,
Taipei,locality,Taipei,,Taiwan,2,,,,,,,,1,,,
Kharkiv,locality,Kharkiv,,Ukraine,4,,,,,,,,1,,,
Pateley Bridge,locality,Pateley Bridge,North Yorkshire,United Kingdom,4,,,,,,,,1,,,
Oxford,locality,Oxford,Oxfordshire,United Kingdom,3,,,,,,,,1,,https://www.oxfordshire.gov.uk/cms/sites/default/files/folders/documents/roadsandtransport/oxfordcyclemap.pdf,https://www.oxford.gov.uk/info/20077/cycling/853/bicycle_routes_in_oxford
Anchorage,locality,Anchorage,AK,United States,3,Silver,298695,,,,,,,Urban core surrounded by low density suburban areas,,
Juneau,locality,Juneau,AK,United States,4,Bronze,32660,,,,,,,Rural,,
Sitka,locality,Sitka,AK,United States,3,Silver,8900,,,,,,,Rural,,
University of Alaska Fairbanks,campus,Fairbanks,AK,United States,3,Silver,6215,,,,,,,University,,
Auburn,locality,Auburn,AL,United States,4,Bronze,53393,,,,,,,,,
Auburn University,campus,Auburn,AL,United States,3,Silver,25912,,,,,,,University,,
Arkansas State University,campus,Jonesboro,AR,United States,4,Bronze,13552,,,,,,,University,,
Benton and Washington Counties,county,Benton and Washington Counties,AR,United States,4,Bronze,424404,,,,,,,Suburban,,Northwest Arkansas
Bentonville,locality,Bentonville,AR,United States,4,Bronze,35301,,,,,,,Suburban,,
Conway,locality,Conway,AR,United States,4,Bronze,63816,,,,,,,Suburban,,
Fayetteville,locality,Fayetteville,AR,United States,3,Silver,80621,,,,,,,Suburban,,
Hendrix College,campus,Conway,AR,United States,4,Bronze,1338,,,,,,,University,,
Little Rock,locality,Little Rock,AR,United States,4,Bronze,197706,,,,,,,Urban,,
North Little Rock,locality,North Little Rock,AR,United States,4,Bronze,62411,,,,,,,Urban,,
University of Arkansas,campus,Fayetteville,AR,United States,3,Silver,26754,,,,,,,University,,
Arizona State University - Tempe,campus,Tempe,AZ,United States,2,Gold,51984,,,,,,,University,,
Arizona State University - West Campus,campus,Glendale,AZ,United States,4,Bronze,3619,,,,,,,University,,
"Arizona State University, Downtown Campus",campus,Phoenix,AZ,United States,4,Bronze,20263,,,,,,,University,,
"Arizona State University, Polytechnic Campus",campus,Mesa,AZ,United States,4,Bronze,9752,,,,,,,University,,
Chandler,locality,Chandler,AZ,United States,4,Bronze,241998,,,,,,,Suburban,,
Cottonwood,locality,Cottonwood,AZ,United States,4,Bronze,11424,,,,,,,Rural,,
Flagstaff,locality,Flagstaff,AZ,United States,3,Silver,68667,,,,,,,Urban,,
Gilbert,locality,Gilbert,AZ,United States,4,Bronze,196000,,,,,,,Urban,,
Mesa,locality,Mesa,AZ,United States,3,Silver,454981,,,,,,,Suburban,,
Northern Arizona University,campus,Flagstaff,AZ,United States,2,Gold,21107,,,,,,,University,,
Phoenix,locality,Phoenix,AZ,United States,4,Bronze,1513357,,,,,1,,Suburban,,
Scottsdale,locality,Scottsdale,AZ,United States,2,Gold,217385,,,,,,,Suburban,,
Sedona,locality,Sedona,AZ,United States,3,Silver,10037,,,,,,,Urban,,
